module           : False
lamda            : 256
regularize_to    : other
attack_to        : other
loss_type        : sim
advtrain_type    : Rep
train_type       : contrastive
lr               : 0.1
lr_multiplier    : 15.0
decay            : 1e-06
dataset          : cifar-10
load_checkpoint  : ckpt_200epochs.t7
resume           : True
model            : ResNet18
name             : Run3
seed             : 0
batch_size       : 256
epoch            : 101
color_jitter_strength : 0.5
temperature      : 0.5
local_rank       : 0
ngpu             : 1
min              : 0.0
max              : 1.0
attack_type      : linf
epsilon          : 0.0314
alpha            : 0.007
k                : 7
random_start     : True
==> Preparing data..
Downloading https://www.cs.toronto.edu/~kriz/cifar-10-python.tar.gz to ./Data/cifar-10-python.tar.gz
Extracting ./Data/cifar-10-python.tar.gz to ./Data
Files already downloaded and verified
==> Building model..
torch.Size([1, 512])
ResNet18 is loading ...
Representation attack info ...
Rep_attack_ep_0.0314_alpha_0.007_min_val_0.0_max_val_1.0_max_iters_7_type_linf_randomstart_True
Using CUDA..
Training info...
results/log_Run3Rep_attack_ep_0.0314_alpha_0.007_min_val_0.0_max_val_1.0_max_iters_7_type_linf_randomstart_Truecontrastive_ResNet18_cifar-10_b256_nGPU1_l256_0
Run3Rep_attack_ep_0.0314_alpha_0.007_min_val_0.0_max_val_1.0_max_iters_7_type_linf_randomstart_Truecontrastive_ResNet18_cifar-10_b256_nGPU1_l256

Epoch: 0
 [====================>.................................................................]  Step: 1s835ms | Tot: 1m24s | Loss: 10.536 | SimLoss: 10.516 | Adv: 0.02 47/196 
 [====================>.................................................................]  Step: 1s836ms | Tot: 1m26s | Loss: 10.535 | SimLoss: 10.515 | Adv: 0.02 48/196 
 [=====================>................................................................]  Step: 1s836ms | Tot: 1m28s | Loss: 10.537 | SimLoss: 10.517 | Adv: 0.02 49/196 
 [=====================>................................................................]  Step: 1s836ms | Tot: 1m29s | Loss: 10.538 | SimLoss: 10.517 | Adv: 0.02 50/196 
 [=====================>................................................................]  Step: 1s833ms | Tot: 1m31s | Loss: 10.538 | SimLoss: 10.517 | Adv: 0.02 51/196 
 [======================>...............................................................]  Step: 1s836ms | Tot: 1m33s | Loss: 10.538 | SimLoss: 10.517 | Adv: 0.02 52/196 
 [======================>...............................................................]  Step: 1s836ms | Tot: 1m35s | Loss: 10.538 | SimLoss: 10.518 | Adv: 0.02 53/196 
 [=======================>..............................................................]  Step: 1s836ms | Tot: 1m37s | Loss: 10.539 | SimLoss: 10.519 | Adv: 0.02 54/196 
 [=======================>..............................................................]  Step: 1s835ms | Tot: 1m39s | Loss: 10.539 | SimLoss: 10.519 | Adv: 0.02 55/196 
 [========================>.............................................................]  Step: 1s837ms | Tot: 1m40s | Loss: 10.540 | SimLoss: 10.520 | Adv: 0.02 56/196 
 [========================>.............................................................]  Step: 1s836ms | Tot: 1m42s | Loss: 10.540 | SimLoss: 10.520 | Adv: 0.02 57/196 
 [=========================>............................................................]  Step: 1s834ms | Tot: 1m44s | Loss: 10.540 | SimLoss: 10.519 | Adv: 0.02 58/196 
 [=========================>............................................................]  Step: 1s830ms | Tot: 1m46s | Loss: 10.540 | SimLoss: 10.520 | Adv: 0.02 59/196 
 [=========================>............................................................]  Step: 1s833ms | Tot: 1m48s | Loss: 10.540 | SimLoss: 10.520 | Adv: 0.02 60/196 
